id,dienbienca,nhanvien
349002b3,d1764089,1
e30c4133,f67185bd,ec0565d2
d80aa95c,a6d0842b,2
ec64cd2f,c460d2d1,bc812b63
90b218a7,0b959d18,09659890
8af260a2,0b959d18,2
866abdc0,ee43ee16,a6e2979c
dd9a57d5,ea129288,2
d0741a34,14eb94c8,a782b548
5c9dd311,a16a5060,2
ba742628,cdc43d84,c7817ce8
9a32738e,19f73ab0,8aaf08ce
ae0c4c77,19f73ab0,084b655d
7e29affe,19f73ab0,54370adf
e8b4cb2d,19f73ab0,2
773db1b8,3718916a,09659890
44efeccf,3718916a,d8a65191
270c8758,407a89b3,21827101
b67ab31b,407a89b3,1b836613
ecc83a2c,c1d8834b,21827101
e1854830,c1d8834b,1b836613
983ed7d3,33ac077f,1b836613
09b7cbc4,33ac077f,21827101
d81e6fa4,6ff783fc,1e6859b8
8bd15b2f,6ff783fc,09659890
25a9e3c2,086398a8,09659890
6ceca354,086398a8,21827101
87f9e9e2,c8b32223,1
46b948c8,aaa6d2c3,09659890
87044d99,aaa6d2c3,040b166c
9e31b3c3,f9eb43ba,2
182f062d,f92c516e,2414884e
07997dee,acab8c17,a6e2979c
1127213e,453b7c5a,462abdc2
edc33738,2387328f,21827101
789e5b40,2387328f,1b836613
7b0ff870,2387328f,1b836613
07c2b233,b1f193db,09659890
e468e663,b1f193db,d8a65191
4ea22481,b3434146,21827101
9ff34ae6,b3434146,1b836613
423e6f6b,fe4e24e5,a6e2979c
59141690,72cfe485,a782b548
a6b8b546,91340aa0,1
e96d57ec,a48bea4c,a6e2979c
2a0ec381,90215b95,d6f9d4c3
bd79b4ff,6e54a7ae,1
2cb9f767,cc4a8f8c,2
4a07cb1b,8efb886f,a6e2979c
ccec6b82,803eb72c,f769d378
0e7ca9bf,803eb72c,a782b548
55b61614,a285ac51,a6e2979c
c6c12e50,133a5237,a782b548
5ea1afd3,d7c77376,bc812b63
cb68f594,41fbaf93,1
75c54ee4,41fbaf93,750f3aa9
a3dcd425,e6597a98,a6e2979c
d6e1998c,1381a50a,a782b548
4f8476c1,aeb52900,2
8bd31530,88d80995,a782b548
e32284dc,38e97dea,d8a65191
da2b6f22,38e97dea,2
ce35f2ea,72243638,09659890
33899b1f,72243638,a782b548
3873221f,e63ae2ea,09659890
62fd1af1,e63ae2ea,1b836613
afa7f6cd,e63ae2ea,21827101
387d44ef,4f922f29,a6e2979c
7567ce66,14d48189,a6e2979c
d630538d,76086b08,2
4a421209,1ff80222,1b836613
64d0d234,1ff80222,d6f9d4c3
a0ae7db8,e6a1325e,1b836613
dfddffdd,e6a1325e,21827101
3934a93b,75f10790,40e103fe
16265a17,75f10790,1b836613
fbbb20a8,4f31d02c,4613f12e
431d1a56,4f31d02c,1b836613
64d25e5d,9676bffd,a6e2979c
dddd81ed,0b490fa3,040b166c
8c937986,7d482864,1
c754c615,57928f46,1
84ba5220,c9b98f59,1
53d4a4b8,f3974ce7,1
cac371cf,84f80762,2414884e
6aef7ebe,39dc1749,1e6859b8
f8217bd3,3eb51082,1e6859b8
27c57984,2fa4dc0a,1e6859b8
a9aa74da,2fa4dc0a,d6cde887
5a55608f,2a4032d8,3bf3960f
093cf12f,2c956633,d6cde887
46cf8690,48e5ef9c,21827101
d5ae2e0f,48e5ef9c,09659890
bd9f7b85,48e5ef9c,09659890
dab85162,60bb572d,1e6859b8
7d4f4484,55f79c87,a6e2979c
22824ecd,5a04decb,2414884e
cc3a80d2,5c34d49d,1
ac3dd2b0,ebae6322,1
e1157401,77c0c23a,1
166a5b3d,4448b6b8,1e6859b8
ff8aa8a1,c09f09ab,fa27a0fe
0bd8c2c8,c09f09ab,79f5ae44
aa740ce2,ce9be14b,1e6859b8
8a67f4af,12ec6346,09659890
1b6adcaf,12ec6346,09659890
08239014,12ec6346,21827101
aa4af122,,750f3aa9
3344f292,,750f3aa9
56818eb1,ce9be14b,750f3aa9
f73afda6,6a5fb5d5,a6e2979c
5457d588,b82869f2,f769d378
848569d6,b82869f2,a782b548
58d8f4b3,fabde05f,1
131518d4,2fb94a6c,1
79ea907d,964bc025,1
eba84eec,28808aa8,2414884e
78e6875d,08a98d8f,f769d378
7a59ee18,85ef33d8,b76188a3
7d2b1559,410adf8d,1
53f85585,410adf8d,2
8aeca409,59251303,1b836613
27f0f87a,59251303,21827101
2519fe51,ecba3c9f,1e6859b8
7e39dbd7,ecba3c9f,2414884e
88ac3458,fa0f7a0e,a6e2979c
21f50f1c,9802f79e,1
236c0ad0,684666b3,040b166c
aa698145,42f24589,2414884e
9302ff21,38e674c9,040b166c
986eb756,053b8ff9,2414884e
6c071805,053b8ff9,4613f12e
98dcdc7c,053b8ff9,2
